condition,problem_id,profile,composite,QQ,SD,SLR,EDT,DC,MC_Verified
C0a_NoScaffold,0f494281748adc02,progressing,0.6062500000000001,0.0,1.0,0.85,0.5,0.6875,0.5
C0a_NoScaffold,336b088daff70c60,progressing,0.6708333333333334,0.3333,1.0,0.8333,0.5,0.7083,0.5
C0a_NoScaffold,05b5db5d64d2d00d,progressing,0.6125,0.0,1.0,0.8562,0.5,0.7344,0.5
C0a_NoScaffold,2bbdc98e5efd30ec,progressing,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,0c68e6790fdc8212,struggling,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,817cd01402b580a2,progressing,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,fecc3d4d9ba43ef7,struggling,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,8e7f2ec3fb783495,advanced,0.6406250000000001,0.0,1.0,1.0,0.5,0.7344,0.5
C0a_NoScaffold,07cde4e475a98b4b,struggling,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,c46455f66de332c0,struggling,0.5609375000000001,0.0,1.0,0.8,0.25,0.7344,0.5
C0a_NoScaffold,d74c52a87e06166e,progressing,0.6953125000000001,0.3125,1.0,0.9375,0.5,0.7344,0.5
C0a_NoScaffold,cd592c7656042969,progressing,0.51875,0.0,1.0,0.5,0.5,0.6875,0.5
C0a_NoScaffold,c275e3cce4ee8fcb,advanced,0.6375000000000001,0.0,1.0,1.0,0.5,0.625,0.5
C0a_NoScaffold,0f494281748adc02,progressing,0.6062500000000001,0.0,1.0,0.85,0.5,0.6875,0.5
C0a_NoScaffold,c46455f66de332c0,struggling,0.5609375000000001,0.0,1.0,0.8,0.25,0.7344,0.5
C0a_NoScaffold,b41cc7b74e66b597,struggling,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,b6ce335d875f871b,progressing,0.5916666666666668,0.25,1.0,0.5833,0.5,0.7083,0.5
C0a_NoScaffold,16fedde94ff473d5,progressing,0.6375000000000001,0.0,1.0,1.0,0.5,0.625,0.5
C0a_NoScaffold,b8ef5dec533b9ddb,progressing,0.6406250000000001,0.0,1.0,0.9688,0.5,0.7344,0.5
C0a_NoScaffold,d28df8f7b843b4df,progressing,0.6109375,0.0,1.0,0.85,0.5,0.7344,0.5
C0a_NoScaffold,5553251d23b75354,progressing,0.6328125000000001,0.0,1.0,0.9375,0.5,0.7344,0.5
C0a_NoScaffold,64d97652f760858a,struggling,0.6375000000000001,0.0,1.0,1.0,0.5,0.625,0.5
C0a_NoScaffold,5d38ace0309450b4,progressing,0.61875,0.25,1.0,0.6813,0.5,0.7344,0.5
C0a_NoScaffold,b5dd77cc4ccd0cca,progressing,0.6062500000000001,0.0625,1.0,0.7812,0.5,0.7344,0.5
C0a_NoScaffold,93b264ffe7b26531,progressing,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,b5dd77cc4ccd0cca,progressing,0.6062500000000001,0.0625,1.0,0.7812,0.5,0.7344,0.5
C0a_NoScaffold,33128756c09a732c,progressing,0.6406250000000001,0.0,1.0,0.9688,0.5,0.7344,0.5
C0a_NoScaffold,64dfad66336d7e34,progressing,0.6250000000000001,0.0,1.0,0.9062,0.5,0.7344,0.5
C0a_NoScaffold,786a70bb2d54eaae,progressing,0.6000000000000001,0.0625,1.0,0.7562,0.5,0.7344,0.5
C0b_WeakScaffold,dc1b264fc4aefafb,progressing,0.5109375,0.5625,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,c46455f66de332c0,struggling,0.5125000000000001,0.3929,1.0,0.1429,0.5,0.7321,0.5
C0b_WeakScaffold,3af5503ad498c930,progressing,0.5671875000000001,0.5312,1.0,0.25,0.5,0.7344,0.5
C0b_WeakScaffold,786a70bb2d54eaae,progressing,0.43392857142857144,0.0,1.0,0.1429,0.5,0.7321,0.5
C0b_WeakScaffold,6681b8e0f2abf7a9,progressing,0.44375,0.0,1.0,0.1812,0.5,0.7344,0.5
C0b_WeakScaffold,c801a0da93a4310b,advanced,0.5796875000000001,0.5938,1.0,0.25,0.5,0.7344,0.5
C0b_WeakScaffold,a02a9dd44a028b48,struggling,0.3875,0.0,1.0,0.0,0.5,0.625,0.5
C0b_WeakScaffold,33128756c09a732c,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,6681b8e0f2abf7a9,progressing,0.44375,0.0,1.0,0.1812,0.5,0.7344,0.5
C0b_WeakScaffold,f96abc956849b96f,struggling,0.471875,0.4375,1.0,0.0938,0.25,0.7344,0.5
C0b_WeakScaffold,d08bed33a30751e1,progressing,0.6093750000000001,0.75,1.0,0.25,0.5,0.7188,0.5
C0b_WeakScaffold,786a70bb2d54eaae,progressing,0.43392857142857144,0.0,1.0,0.1429,0.5,0.7321,0.5
C0b_WeakScaffold,b41cc7b74e66b597,struggling,0.5515625000000001,0.6562,1.0,0.0875,0.5,0.7344,0.5
C0b_WeakScaffold,5553251d23b75354,progressing,0.5109375,0.5625,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,d28df8f7b843b4df,progressing,0.5145833333333334,0.5833,1.0,0.0,0.5,0.7292,0.5
C0b_WeakScaffold,b5f82fe7beb2c711,advanced,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,0f566f93cd97b42d,struggling,0.5333333333333334,0.5,1.0,0.0,0.75,0.7083,0.5
C0b_WeakScaffold,50ee037194ec0443,struggling,0.5609375000000001,0.6562,1.0,0.125,0.5,0.7344,0.5
C0b_WeakScaffold,786a70bb2d54eaae,progressing,0.43392857142857144,0.0,1.0,0.1429,0.5,0.7321,0.5
C0b_WeakScaffold,bfa26e430b44d5e6,advanced,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,5d38ace0309450b4,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,0f494281748adc02,progressing,0.5296875000000001,0.6562,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,336b088daff70c60,progressing,0.5734375,0.7188,1.0,0.125,0.5,0.7344,0.5
C0b_WeakScaffold,05b5db5d64d2d00d,progressing,0.5671875000000001,0.375,1.0,0.375,0.5,0.7344,0.5
C0b_WeakScaffold,2bbdc98e5efd30ec,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,0c68e6790fdc8212,struggling,0.5875,0.7,1.0,0.2,0.5,0.725,0.5
C0b_WeakScaffold,817cd01402b580a2,progressing,0.5359375000000001,0.5312,1.0,0.125,0.5,0.7344,0.5
C0b_WeakScaffold,fecc3d4d9ba43ef7,struggling,0.5984375000000001,0.6562,1.0,0.125,0.75,0.7344,0.5
C0b_WeakScaffold,8e7f2ec3fb783495,advanced,0.5421875,0.5625,1.0,0.125,0.5,0.7344,0.5
C0b_WeakScaffold,07cde4e475a98b4b,struggling,0.5020833333333334,0.125,1.0,0.1667,0.75,0.7292,0.5
C0b_WeakScaffold,c46455f66de332c0,struggling,0.5125000000000001,0.3929,1.0,0.1429,0.5,0.7321,0.5
C0b_WeakScaffold,d74c52a87e06166e,progressing,0.5234375,0.4688,1.0,0.125,0.5,0.7344,0.5
C0b_WeakScaffold,cd592c7656042969,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,c275e3cce4ee8fcb,advanced,0.5421875,0.5625,1.0,0.125,0.5,0.7344,0.5
C0b_WeakScaffold,0f494281748adc02,progressing,0.5296875000000001,0.6562,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,c46455f66de332c0,struggling,0.5125000000000001,0.3929,1.0,0.1429,0.5,0.7321,0.5
C0b_WeakScaffold,b41cc7b74e66b597,struggling,0.5515625000000001,0.6562,1.0,0.0875,0.5,0.7344,0.5
C0b_WeakScaffold,b6ce335d875f871b,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,16fedde94ff473d5,progressing,0.3975,0.0,1.0,0.0,0.5,0.725,0.5
C0b_WeakScaffold,b8ef5dec533b9ddb,progressing,0.5296875000000001,0.6562,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,d28df8f7b843b4df,progressing,0.5145833333333334,0.5833,1.0,0.0,0.5,0.7292,0.5
C0b_WeakScaffold,5553251d23b75354,progressing,0.5109375,0.5625,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,64d97652f760858a,struggling,0.5046875000000001,0.375,1.0,0.125,0.5,0.7344,0.5
C0b_WeakScaffold,5d38ace0309450b4,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,b5dd77cc4ccd0cca,progressing,0.5828125000000001,0.4375,1.0,0.3875,0.5,0.7344,0.5
C0b_WeakScaffold,93b264ffe7b26531,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,b5dd77cc4ccd0cca,progressing,0.5828125000000001,0.4375,1.0,0.3875,0.5,0.7344,0.5
C0b_WeakScaffold,33128756c09a732c,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,64dfad66336d7e34,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C0b_WeakScaffold,786a70bb2d54eaae,progressing,0.43392857142857144,0.0,1.0,0.1429,0.5,0.7321,0.5
C1_FullScaffold,dc1b264fc4aefafb,progressing,0.4921875,0.4688,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,c46455f66de332c0,struggling,0.4921875,0.4688,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,3af5503ad498c930,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,786a70bb2d54eaae,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,6681b8e0f2abf7a9,progressing,0.5609375000000001,0.6562,1.0,0.125,0.5,0.7344,0.5
C1_FullScaffold,c801a0da93a4310b,advanced,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,a02a9dd44a028b48,struggling,0.509375,0.5625,1.0,0.0,0.5,0.7188,0.5
C1_FullScaffold,33128756c09a732c,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,6681b8e0f2abf7a9,progressing,0.5609375000000001,0.6562,1.0,0.125,0.5,0.7344,0.5
C1_FullScaffold,f96abc956849b96f,struggling,0.5296875000000001,0.6562,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,d08bed33a30751e1,progressing,0.4921875,0.4688,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,786a70bb2d54eaae,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,b41cc7b74e66b597,struggling,0.58125,0.75,1.0,0.0,0.75,0.6875,0.5
C1_FullScaffold,5553251d23b75354,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,d28df8f7b843b4df,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,b5f82fe7beb2c711,advanced,0.5468750000000001,0.75,1.0,0.0,0.5,0.7188,0.5
C1_FullScaffold,0f566f93cd97b42d,struggling,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,50ee037194ec0443,struggling,0.5843750000000001,0.75,1.0,0.0,0.75,0.7188,0.5
C1_FullScaffold,786a70bb2d54eaae,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,bfa26e430b44d5e6,advanced,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,5d38ace0309450b4,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,0f494281748adc02,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,336b088daff70c60,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,05b5db5d64d2d00d,progressing,0.4921875,0.4688,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,2bbdc98e5efd30ec,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,0c68e6790fdc8212,struggling,0.5857142857142857,0.75,1.0,0.0,0.75,0.7321,0.5
C1_FullScaffold,817cd01402b580a2,progressing,0.5296875000000001,0.6562,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,fecc3d4d9ba43ef7,struggling,0.5859375000000001,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,8e7f2ec3fb783495,advanced,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,07cde4e475a98b4b,struggling,0.3875,0.0,1.0,0.0,0.5,0.625,0.5
C1_FullScaffold,c46455f66de332c0,struggling,0.4921875,0.4688,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,d74c52a87e06166e,progressing,0.5458333333333334,0.75,1.0,0.0,0.5,0.7083,0.5
C1_FullScaffold,cd592c7656042969,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,c275e3cce4ee8fcb,advanced,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,0f494281748adc02,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,c46455f66de332c0,struggling,0.4921875,0.4688,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,b41cc7b74e66b597,struggling,0.58125,0.75,1.0,0.0,0.75,0.6875,0.5
C1_FullScaffold,b6ce335d875f871b,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,16fedde94ff473d5,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,b8ef5dec533b9ddb,progressing,0.5296875000000001,0.6562,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,d28df8f7b843b4df,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,5553251d23b75354,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,64d97652f760858a,struggling,0.44583333333333336,0.25,1.0,0.0,0.5,0.7083,0.5
C1_FullScaffold,5d38ace0309450b4,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,b5dd77cc4ccd0cca,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,93b264ffe7b26531,progressing,0.5296875000000001,0.6562,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,b5dd77cc4ccd0cca,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,33128756c09a732c,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
C1_FullScaffold,64dfad66336d7e34,progressing,0.5437500000000001,0.75,1.0,0.0,0.5,0.6875,0.5
C1_FullScaffold,786a70bb2d54eaae,progressing,0.5484375,0.75,1.0,0.0,0.5,0.7344,0.5
